"B1";"";"–езонатор кварцевый HC49S-20-L-30-30-F-22,1184M√ц";"Vanlong"
"C89";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"D1";"";"TPS76325DBVT";"Texas Instruments"
"D2";"";"74LVC04 AD";"Philips"
"D3";"";"MIC2177BWM";"Micrel"
"D4";"";"MIC2177-3,3BWM";"Micrel"
"D5";"";"Ќабор диодов BAV23";"Philips"
"D6";"";"”стройство загрузки процессора";"јЅ¬√ƒ.123456.637 “”"
"D7";"";"XC2S100-6  TQ144 I";"Xilinx"
"D8";"";"”стройство конфигурировани€ ѕЋ»—";"јЅ¬√ƒ.123456.639 “”"
"D9";"";"DS1339C-33";"Maxim"
"D10";"";"AS6C1008-55TIN";"ALLIANCE"
"D11";"";"DS1818R-20-U";"Maxim"
"D12";"";"AT45DB642D-TU";"Atmel"
"D13";"";"ADM3222ARU";"Analog Devices"
"D14";"";"ADM3222ARU";"Analog Devices"
"D15";"";"ADM3222ARU";"Analog Devices"
"D16";"";"ADM3222ARU";"Analog Devices"
"D17";"";"ADM3222ARU";"Analog Devices"
"D18";"";"74LVC04 AD";"Philips"
"D19";"";"ѕриЄмник навигационный";"јЅ¬√ƒ.123456.074"
"D20";"";"ѕриЄмник навигационный";"јЅ¬√ƒ.123456.074"
"G1";"";"Ёлемент питани€ CR1616";"Varta"
"KT1";"";"";""
"KT2";"";"";""
"KT3";"";"";""
"KT4";"";"";""
"KT5";"";"";""
"KT6";"";"";""
"KT7";"";"";""
"KT8";"";"";""
"KT9";"";"";""
"KT10";"";"";""
"KT11";"";"";""
"KT12";"";"";""
"KT13";"";"";""
"KT14";"";"";""
"KT15";"";"";""
"KT16";"";"";""
"KT17";"";"";""
"KT18";"";"";""
"KT19";"";"";""
"KT20";"";"";""
"KT21";"";"";""
"KT22";"";"";""
"KT23";"";"";""
"KT24";"";"";""
"KT25";"";"";""
"KT26";"";"";""
"KT27";"";"";""
"KT28";"";"";""
"KT29";"";"";""
"KT30";"";"";""
"KT31";"";"";""
"KT32";"";"";""
"KT33";"";"";""
"KT34";"";"";""
"KT35";"";"";""
"KT36";"";"";""
"KT37";"";"";""
"KT38";"";"";""
"KT39";"";"";""
"KT40";"";"";""
"KT41";"";"";""
"KT42";"";"";""
"KT43";"";"";""
"KT44";"";"";""
"KT45";"";"";""
"KT46";"";"";""
"KT47";"";"";""
"KT48";"";"";""
"KT49";"";"";""
"KT50";"";"";""
"KT51";"";"";""
"KT52";"";"";""
"KT53";"";"";""
"KT54";"";"";""
"KT55";"";"";""
"KT56";"";"";""
"KT57";"";"";""
"KT58";"";"";""
"KT59";"";"";""
"KT60";"";"";""
"KT61";"";"";""
"KT62";"";"";""
"KT63";"";"";""
"L1";"";"»ндуктивность MSS1038-683NLx";"Coilcraft"
"L2";"";"»ндуктивность MSS1038-683NLx";"Coilcraft"
"L3";"";"»ндуктивность MSS1038-683NLx";"Coilcraft"
"L4";"";"»ндуктивность MSS1038-683NLx";"Coilcraft"
"L5";"";"Ќабор дросселей BLA31AG601SN4";"Murata"
"L6";"";"Ќабор дросселей BLA31AG601SN4";"Murata"
"L7";"";"Ќабор дросселей BLA31AG601SN4";"Murata"
"L8";"";"Ќабор дросселей BLA31AG601SN4";"Murata"
"L9";"";"Ќабор дросселей BLA31AG601SN4";"Murata"
"L10";"";"Ќабор дросселей BLA31AG601SN4";"Murata"
"L11";"";"»ндуктивность MSS7341-683MLx";"Coilcraft"
"L12";"";"»ндуктивность MSS1038-683NLx";"Coilcraft"
"L13";"";"»ндуктивность MSS7341-683MLx";"Coilcraft"
"R1";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R2";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R3";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R4";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R5";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R6";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R7";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R8";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R9";"(CR0603 ±5% W-51 кќм)";"CR0603-JW-513E";"Bourns"
"R10";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R11";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R12";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R13";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R14";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R15";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R16";"(CR0603 ±1% X-27 кќм)";"CR0603-FX-2702E";"Bourns"
"R17";"(CR0603 ±1% X-82 кќм)";"CR0603-FX-8202E";"Bourns"
"R18";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R19";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R20";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R21";"(CR0603 ±5% W-20 кќм)";"CR0603-JW-203E";"Bourns"
"R22";"(CR0603 ±5% W-20 кќм)";"CR0603-JW-203E";"Bourns"
"R23";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R24";"(CR0603 ±1% X-20 кќм)";"CR0603-FX-2002E";"Bourns"
"R25";"(CR0603 ±1% X-10 кќм)";"CR0603-FX-1002E";"Bourns"
"R26";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R27";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R28";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R29";"(CR0805 ±5% W-200 кќм)";"CR0805-JW-204E";"Bourns"
"R30";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R31";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R32";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R33";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R34";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R35";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R36";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R37";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R38";"(CR0603 ±5% W-1 кќм)";"CR0603-JW-102E";"Bourns"
"R39";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R40";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R41";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R42";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R43";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R44";"(CR0603 ±5% W-4,7 кќм)";"CR0603-JW-472E";"Bourns"
"R45";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R46";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R47";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R48";"(CR0603 ±5% W-10 кќм)";"CR0603-JW-103E";"Bourns"
"R49";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R50";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R51";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R52";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R53";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"R54";"(CR0603 ±5% /-0 ќм)";"CR0603-J/-000E";"Bourns"
"S1";"";" нопка 7914G-1-000E";"Bourns"
"S2";"";" нопка 7914G-1-000E";"Bourns"
"VD1";"";"—табилитрон BZX84-C3V3";"Philips"
"VD2";"";"ƒиод Ўоттки CD0805-B0130";"Bourns"
"VD3";"";"ƒиод Ўоттки 15MQ040N";"Farchild Semiconductors"
"VD4";"";"ƒиод Ўоттки 15MQ040N";"Farchild Semiconductors"
"VD5";"";"ƒиод Ўоттки CD0805-B0130";"Bourns"
"VD6";"";"ƒиод Ўоттки CD0805-B0130";"Bourns"
"VD7";"";"ƒиод Ўоттки MBRS130L";"Farchild Semiconductors"
"VD8";"";"ƒиод Ўоттки MBRS130L";"Farchild Semiconductors"
"VD9";"";"ƒиод Ўоттки CD0805-B0130";"Bourns"
"VD10";"";"ƒиод Ўоттки CD0805-B0130";"Bourns"
"VD11";"";"ƒиод Ўоттки CD0805-B0130";"Bourns"
"VT1";"";"BC847B";"Infenion Technologies"
"VT2";"";"IRLML6402";"International Rectifier"
"VT3";"";"BC847B";"Infenion Technologies"
"VT4";"";"BC847B";"Infenion Technologies"
"VT5";"";"BC847B";"Infenion Technologies"
"VT6";"";"IRLML6402";"International Rectifier"
"VT7";"";"IRLML6402";"International Rectifier"
"VT8";"";"IRLML6402";"International Rectifier"
"VT9";"";"IRLML6402";"International Rectifier"
"X1";"";"¬илка WF-4R";"Amphenol"
"X2";"";"ƒержатель элемента питани€ 676-482 1";"Keystone"
"X3";"";"¬илка PLLD1.27-10";"Amphenol"
"X4";"";"¬илка PLS-6R";"Amphenol"
"X5";"";"¬илка PLS-6R";"Amphenol"
"X6";"";"¬илка PLS-9R";"Amphenol"
"X7";"";"¬илка PLD-7R  ";"Amphenol"
"X8";"";"¬илка PLD-10R ";"Amphenol"
"X2";"";"–озетка   MMCX 135-3701-201";"Johnson Components"
